gene_name,controls_max_transcript_counts,exposed_max_transcript_counts,difference
LOC111110262,2,1,1
LOC111110296,6,5,1
LOC111110316,4,5,-1
LOC111110318,1,2,-1
LOC111110319,2,1,1
LOC111110324,1,2,-1
LOC111110325,0,1,-1
LOC111110349,0,2,-2
LOC111110352,5,4,1
LOC111110367,1,2,-1
LOC111110396,1,2,-1
LOC111110400,0,1,-1
LOC111110476,6,5,1
LOC111110477,1,3,-2
LOC111110481,1,0,1
LOC111110509,3,2,1
LOC111110526,6,5,1
LOC111110538,1,2,-1
LOC111110540,3,4,-1
LOC111110545,5,4,1
LOC111110556,1,2,-1
LOC111110570,1,0,1
LOC111110585,1,2,-1
LOC111110609,4,2,2
LOC111110622,2,1,1
LOC111110633,2,3,-1
LOC111110640,2,3,-1
LOC111110642,4,5,-1
LOC111110650,1,0,1
LOC111110659,2,3,-1
LOC111110671,4,5,-1
LOC111110674,2,1,1
LOC111110680,0,1,-1
LOC111110708,2,1,1
LOC111110715,1,2,-1
LOC111110716,3,1,2
LOC111110744,2,3,-1
LOC111110748,6,8,-2
LOC111110752,2,1,1
LOC111110756,3,4,-1
LOC111110782,3,2,1
LOC111110803,0,1,-1
LOC111110813,1,2,-1
LOC111110814,3,2,1
LOC111110817,1,3,-2
LOC111110820,3,4,-1
LOC111110840,1,2,-1
LOC111110845,1,2,-1
LOC111110858,1,0,1
LOC111110863,7,4,3
LOC111110867,7,6,1
LOC111110875,1,2,-1
LOC111110876,1,2,-1
LOC111110881,2,3,-1
LOC111110883,1,2,-1
LOC111110890,4,5,-1
LOC111110905,3,2,1
LOC111110910,2,5,-3
LOC111110934,0,1,-1
LOC111110957,3,2,1
LOC111110965,6,5,1
LOC111110975,5,4,1
LOC111110997,14,16,-2
LOC111110999,2,1,1
LOC111111003,3,2,1
LOC111111017,3,2,1
LOC111111023,2,1,1
LOC111111028,2,3,-1
LOC111111050,11,10,1
LOC111111058,9,8,1
LOC111111067,0,1,-1
LOC111111079,2,1,1
LOC111111097,0,2,-2
LOC111111099,4,2,2
LOC111111101,2,1,1
LOC111111131,3,2,1
LOC111111132,2,3,-1
LOC111111134,1,2,-1
LOC111111138,0,1,-1
LOC111111140,1,0,1
LOC111111150,1,0,1
LOC111111156,4,5,-1
LOC111111161,1,2,-1
LOC111111178,0,1,-1
LOC111111182,3,4,-1
LOC111111224,2,3,-1
LOC111111228,1,2,-1
LOC111111241,2,0,2
LOC111111242,1,0,1
LOC111111248,3,2,1
LOC111111255,6,5,1
LOC111111289,3,4,-1
LOC111111343,4,2,2
LOC111111365,3,4,-1
LOC111111376,4,3,1
LOC111111392,17,20,-3
LOC111111403,2,3,-1
LOC111111409,2,1,1
LOC111111411,0,1,-1
LOC111111423,0,1,-1
LOC111111441,2,1,1
LOC111111447,1,0,1
LOC111111454,0,1,-1
LOC111111464,3,4,-1
LOC111111467,1,2,-1
LOC111111471,3,2,1
LOC111111487,18,16,2
LOC111111491,2,1,1
LOC111111494,1,2,-1
LOC111111507,0,1,-1
LOC111111531,2,1,1
LOC111111535,2,1,1
LOC111111542,2,4,-2
LOC111111553,3,2,1
LOC111111569,3,4,-1
LOC111111570,1,2,-1
LOC111111582,3,2,1
LOC111111589,2,3,-1
LOC111111599,8,6,2
LOC111111611,2,1,1
LOC111111620,1,2,-1
LOC111111624,4,3,1
LOC111111627,2,1,1
LOC111111635,0,1,-1
LOC111111640,1,2,-1
LOC111111646,10,8,2
LOC111111657,2,3,-1
LOC111111666,6,5,1
LOC111111671,1,2,-1
LOC111111673,1,2,-1
LOC111111690,3,2,1
LOC111111704,4,5,-1
LOC111111741,2,1,1
LOC111111743,1,0,1
LOC111111748,1,2,-1
LOC111111750,6,4,2
LOC111111766,3,1,2
LOC111111772,1,2,-1
LOC111111775,1,0,1
LOC111111776,1,2,-1
LOC111111779,2,1,1
LOC111111789,2,1,1
LOC111111803,0,1,-1
LOC111111818,3,4,-1
LOC111111823,1,2,-1
LOC111111855,8,9,-1
LOC111111864,1,2,-1
LOC111111871,4,3,1
LOC111111879,1,2,-1
LOC111111883,1,2,-1
LOC111111906,2,3,-1
LOC111111916,1,2,-1
LOC111111919,2,1,1
LOC111111930,5,3,2
LOC111111940,3,2,1
LOC111111946,5,3,2
LOC111111948,2,1,1
LOC111111950,2,1,1
LOC111111956,1,2,-1
LOC111111960,2,1,1
LOC111111967,1,0,1
LOC111111983,3,5,-2
LOC111111991,2,3,-1
LOC111112005,0,1,-1
LOC111112006,16,17,-1
LOC111112014,4,3,1
LOC111112022,1,2,-1
LOC111112028,10,8,2
LOC111112037,2,3,-1
LOC111112040,1,2,-1
LOC111112062,2,1,1
LOC111112063,2,1,1
LOC111112065,2,1,1
LOC111112074,1,2,-1
LOC111112080,2,3,-1
LOC111112082,5,6,-1
LOC111112086,2,3,-1
LOC111112092,1,2,-1
LOC111112093,4,2,2
LOC111112099,18,16,2
LOC111112100,3,2,1
LOC111112114,6,5,1
LOC111112121,1,2,-1
LOC111112131,12,11,1
LOC111112135,2,1,1
LOC111112166,1,2,-1
LOC111112168,4,3,1
LOC111112171,1,3,-2
LOC111112173,2,3,-1
LOC111112175,3,1,2
LOC111112198,2,1,1
LOC111112204,4,5,-1
LOC111112208,1,0,1
LOC111112214,4,5,-1
LOC111112227,3,4,-1
LOC111112230,0,1,-1
LOC111112251,2,3,-1
LOC111112264,0,1,-1
LOC111112266,3,4,-1
LOC111112268,1,2,-1
LOC111112272,2,1,1
LOC111112287,2,1,1
LOC111112335,1,0,1
LOC111112343,0,1,-1
LOC111112347,0,1,-1
LOC111112350,6,7,-1
LOC111112366,2,1,1
LOC111112373,1,0,1
LOC111112374,3,1,2
LOC111112375,1,3,-2
LOC111112379,0,1,-1
LOC111112396,1,2,-1
LOC111112397,1,2,-1
LOC111112400,6,5,1
LOC111112433,7,4,3
LOC111112452,3,4,-1
LOC111112470,0,1,-1
LOC111112501,3,2,1
LOC111112510,2,3,-1
LOC111112513,1,2,-1
LOC111112520,0,1,-1
LOC111112548,1,0,1
LOC111112565,2,1,1
LOC111112585,12,11,1
LOC111112588,14,17,-3
LOC111112603,5,4,1
LOC111112605,24,26,-2
LOC111112609,2,0,2
LOC111112612,3,5,-2
LOC111112614,4,2,2
LOC111112617,1,2,-1
LOC111112620,27,16,11
LOC111112626,0,1,-1
LOC111112629,9,7,2
LOC111112650,2,1,1
LOC111112655,11,10,1
LOC111112657,2,3,-1
LOC111112658,1,2,-1
LOC111112665,1,2,-1
LOC111112669,2,4,-2
LOC111112679,1,2,-1
LOC111112685,5,4,1
LOC111112687,2,1,1
LOC111112688,2,3,-1
LOC111112699,5,4,1
LOC111112702,0,1,-1
LOC111112719,1,2,-1
LOC111112720,9,10,-1
LOC111112740,2,1,1
LOC111112741,3,5,-2
LOC111112757,1,3,-2
LOC111112774,3,2,1
LOC111112775,2,1,1
LOC111112780,6,7,-1
LOC111112781,4,3,1
LOC111112790,3,2,1
LOC111112800,2,1,1
LOC111112803,6,4,2
LOC111112811,6,5,1
LOC111112816,1,2,-1
LOC111112827,2,1,1
LOC111112829,3,2,1
LOC111112838,0,1,-1
LOC111112840,1,0,1
LOC111112852,1,2,-1
LOC111112889,0,1,-1
LOC111112898,4,1,3
LOC111112902,3,1,2
LOC111112903,1,2,-1
LOC111112916,1,2,-1
LOC111112922,2,3,-1
LOC111112966,1,2,-1
LOC111112968,3,2,1
LOC111112970,3,2,1
LOC111113020,12,10,2
LOC111113024,1,2,-1
LOC111113027,1,2,-1
LOC111113042,7,6,1
LOC111113048,2,1,1
LOC111113053,2,3,-1
LOC111113062,5,1,4
LOC111113078,0,1,-1
LOC111113082,1,2,-1
LOC111113083,1,0,1
LOC111113084,3,2,1
LOC111113088,0,2,-2
LOC111113090,4,5,-1
LOC111113097,0,1,-1
LOC111113099,2,1,1
LOC111113109,3,1,2
LOC111113124,4,6,-2
LOC111113125,5,4,1
LOC111113129,9,7,2
LOC111113154,0,1,-1
LOC111113157,7,8,-1
LOC111113159,3,4,-1
LOC111113163,11,10,1
LOC111113166,2,3,-1
LOC111113170,1,2,-1
LOC111113174,4,3,1
LOC111113175,14,13,1
LOC111113184,1,2,-1
LOC111113188,3,4,-1
LOC111113192,1,2,-1
LOC111113198,2,3,-1
LOC111113208,5,8,-3
LOC111113231,1,2,-1
LOC111113274,7,4,3
LOC111113281,1,2,-1
LOC111113294,1,2,-1
LOC111113300,1,3,-2
LOC111113309,6,5,1
LOC111113316,5,3,2
LOC111113327,2,3,-1
LOC111113342,3,2,1
LOC111113345,2,4,-2
LOC111113352,5,6,-1
LOC111113355,10,9,1
LOC111113358,6,3,3
LOC111113363,3,4,-1
LOC111113377,1,2,-1
LOC111113416,5,4,1
LOC111113447,3,4,-1
LOC111113449,1,2,-1
LOC111113459,1,0,1
LOC111113463,1,0,1
LOC111113464,1,0,1
LOC111113465,1,0,1
LOC111113519,1,0,1
LOC111113520,1,0,1
LOC111113524,3,4,-1
LOC111113554,5,4,1
LOC111113592,2,1,1
LOC111113620,0,1,-1
LOC111113638,0,1,-1
LOC111113642,1,0,1
LOC111113643,0,1,-1
LOC111113655,1,0,1
LOC111113665,1,0,1
LOC111113670,0,1,-1
LOC111113689,0,1,-1
LOC111113694,1,0,1
LOC111113719,0,1,-1
LOC111113804,0,1,-1
LOC111113810,1,0,1
LOC111113858,0,1,-1
LOC111113876,0,1,-1
LOC111113886,0,1,-1
LOC111113938,0,1,-1
LOC111114177,1,0,1
LOC111114185,0,1,-1
LOC111114190,0,1,-1
LOC111114283,7,4,3
LOC111114346,4,3,1
LOC111114359,0,1,-1
LOC111114454,1,2,-1
LOC111114459,6,4,2
LOC111114467,2,1,1
LOC111114475,4,3,1
LOC111114486,3,2,1
LOC111114488,4,5,-1
LOC111114492,2,3,-1
LOC111114495,4,3,1
LOC111114510,2,1,1
LOC111114512,1,0,1
LOC111114521,1,2,-1
LOC111114549,2,1,1
LOC111114581,2,1,1
LOC111114603,2,1,1
LOC111114614,1,2,-1
LOC111114644,4,6,-2
LOC111114650,4,3,1
LOC111114666,1,2,-1
LOC111114685,1,2,-1
LOC111114705,2,3,-1
LOC111114709,1,2,-1
LOC111114715,3,4,-1
LOC111114721,3,4,-1
LOC111114722,2,1,1
LOC111114724,3,2,1
LOC111114726,1,0,1
LOC111114740,1,2,-1
LOC111114747,4,3,1
LOC111114755,2,3,-1
LOC111114771,5,6,-1
LOC111114791,1,2,-1
LOC111114793,1,2,-1
LOC111114802,2,1,1
LOC111114803,2,3,-1
LOC111114807,9,13,-4
LOC111114816,2,3,-1
LOC111114820,4,5,-1
LOC111114825,6,3,3
LOC111114827,2,1,1
LOC111114836,3,4,-1
LOC111114842,4,5,-1
LOC111114844,2,1,1
LOC111114863,2,1,1
LOC111114864,3,2,1
LOC111114865,4,3,1
LOC111114887,5,4,1
LOC111114896,3,2,1
LOC111114900,6,7,-1
LOC111114901,7,8,-1
LOC111114910,3,4,-1
LOC111114933,1,2,-1
LOC111114936,2,3,-1
LOC111114947,6,5,1
LOC111114952,3,1,2
LOC111114954,2,3,-1
LOC111114958,1,2,-1
LOC111114959,1,2,-1
LOC111114972,3,2,1
LOC111114979,3,4,-1
LOC111114987,2,3,-1
LOC111114997,1,2,-1
LOC111115000,1,2,-1
LOC111115004,0,1,-1
LOC111115006,3,2,1
LOC111115010,1,2,-1
LOC111115011,2,1,1
LOC111115023,0,1,-1
LOC111115028,0,1,-1
LOC111115029,0,1,-1
LOC111115081,1,0,1
LOC111115083,1,0,1
LOC111115084,4,3,1
LOC111115090,1,2,-1
LOC111115092,4,5,-1
LOC111115118,2,1,1
LOC111115120,1,3,-2
LOC111115123,9,8,1
LOC111115128,2,1,1
LOC111115129,3,2,1
LOC111115146,2,3,-1
LOC111115151,2,1,1
LOC111115176,2,3,-1
LOC111115187,2,0,2
LOC111115199,1,2,-1
LOC111115206,1,2,-1
LOC111115238,1,2,-1
LOC111115259,3,4,-1
LOC111115260,3,2,1
LOC111115280,2,1,1
LOC111115287,1,2,-1
LOC111115295,1,2,-1
LOC111115298,1,2,-1
LOC111115305,1,2,-1
LOC111115306,5,4,1
LOC111115316,0,1,-1
LOC111115341,8,6,2
LOC111115342,8,7,1
LOC111115370,1,2,-1
LOC111115402,0,2,-2
LOC111115409,1,2,-1
LOC111115412,1,2,-1
LOC111115435,2,1,1
LOC111115471,3,2,1
LOC111115474,4,5,-1
LOC111115502,0,1,-1
LOC111115516,2,1,1
LOC111115530,2,1,1
LOC111115531,3,2,1
LOC111115533,1,2,-1
LOC111115540,4,3,1
LOC111115544,1,2,-1
LOC111115545,1,2,-1
LOC111115550,2,1,1
LOC111115581,3,4,-1
LOC111115585,1,2,-1
LOC111115591,1,2,-1
LOC111115599,3,2,1
LOC111115605,2,1,1
LOC111115612,17,13,4
LOC111115617,1,2,-1
LOC111115627,2,1,1
LOC111115632,2,1,1
LOC111115641,2,1,1
LOC111115650,1,2,-1
LOC111115656,1,3,-2
LOC111115663,2,0,2
LOC111115670,2,1,1
LOC111115675,4,3,1
LOC111115682,3,2,1
LOC111115704,1,2,-1
LOC111115717,2,1,1
LOC111115746,2,3,-1
LOC111115761,2,1,1
LOC111115788,2,1,1
LOC111115790,2,3,-1
LOC111115795,16,14,2
LOC111115805,0,1,-1
LOC111115815,1,2,-1
LOC111115834,3,1,2
LOC111115844,11,9,2
LOC111115851,3,2,1
LOC111115869,1,2,-1
LOC111115873,3,2,1
LOC111115882,2,3,-1
LOC111115896,8,9,-1
LOC111115902,1,0,1
LOC111115920,6,4,2
LOC111115933,0,1,-1
LOC111115938,2,3,-1
LOC111115940,2,1,1
LOC111115962,3,4,-1
LOC111115979,4,5,-1
LOC111115995,5,4,1
LOC111116003,0,4,-4
LOC111116017,2,4,-2
LOC111116037,2,3,-1
LOC111116053,3,0,3
LOC111116055,1,0,1
LOC111116056,3,2,1
LOC111116071,2,1,1
LOC111116088,5,3,2
LOC111116098,6,4,2
LOC111116100,1,2,-1
LOC111116103,2,1,1
LOC111116110,2,1,1
LOC111116125,2,1,1
LOC111116128,4,3,1
LOC111116156,3,4,-1
LOC111116218,2,1,1
LOC111116258,3,2,1
LOC111116561,0,1,-1
LOC111116565,0,1,-1
LOC111116622,3,2,1
LOC111116632,2,3,-1
LOC111116633,3,2,1
LOC111116665,3,4,-1
LOC111116693,1,2,-1
LOC111116696,1,2,-1
LOC111116730,2,3,-1
LOC111116747,3,6,-3
LOC111116752,6,3,3
LOC111116762,3,2,1
LOC111116769,3,4,-1
LOC111116787,3,4,-1
LOC111116790,3,2,1
LOC111116795,5,4,1
LOC111116798,1,0,1
LOC111116814,1,3,-2
LOC111116828,1,2,-1
LOC111116840,5,4,1
LOC111116844,1,2,-1
LOC111116845,2,4,-2
LOC111116864,3,1,2
LOC111116869,10,11,-1
LOC111116870,3,2,1
LOC111116874,2,1,1
LOC111116875,2,1,1
LOC111116888,2,1,1
LOC111116890,2,5,-3
LOC111116894,1,2,-1
LOC111116899,0,1,-1
LOC111116933,3,2,1
LOC111116942,3,1,2
LOC111116945,1,2,-1
LOC111116957,1,0,1
LOC111116972,1,2,-1
LOC111116994,4,3,1
LOC111117020,3,2,1
LOC111117027,1,2,-1
LOC111117029,1,2,-1
LOC111117030,1,2,-1
LOC111117035,1,2,-1
LOC111117040,5,4,1
LOC111117047,3,1,2
LOC111117048,1,2,-1
LOC111117051,1,2,-1
LOC111117062,3,2,1
LOC111117069,2,1,1
LOC111117080,0,1,-1
LOC111117104,1,2,-1
LOC111117113,2,1,1
LOC111117117,2,3,-1
LOC111117139,2,3,-1
LOC111117185,0,1,-1
LOC111117205,4,3,1
LOC111117207,5,4,1
LOC111117303,1,2,-1
LOC111117311,3,2,1
LOC111117316,2,1,1
LOC111117323,2,1,1
LOC111117330,11,10,1
LOC111117346,3,1,2
LOC111117363,2,3,-1
LOC111117369,2,4,-2
LOC111117395,2,1,1
LOC111117400,3,4,-1
LOC111117417,15,14,1
LOC111117454,3,2,1
LOC111117461,1,2,-1
LOC111117474,2,1,1
LOC111117475,5,6,-1
LOC111117481,2,1,1
LOC111117512,2,1,1
LOC111117517,1,2,-1
LOC111117533,9,8,1
LOC111117535,2,1,1
LOC111117538,1,2,-1
LOC111117570,4,3,1
LOC111117571,2,1,1
LOC111117668,2,1,1
LOC111117691,2,1,1
LOC111117699,1,2,-1
LOC111117700,1,2,-1
LOC111117707,1,2,-1
LOC111117728,1,2,-1
LOC111117735,9,6,3
LOC111117736,5,6,-1
LOC111117737,1,2,-1
LOC111117739,9,11,-2
LOC111117740,13,14,-1
LOC111117742,8,7,1
LOC111117749,4,3,1
LOC111117750,4,3,1
LOC111117755,7,6,1
LOC111117756,1,2,-1
LOC111117771,2,3,-1
LOC111117813,3,2,1
LOC111117839,0,1,-1
LOC111117878,2,1,1
LOC111117881,2,1,1
LOC111117884,0,1,-1
LOC111117902,3,2,1
LOC111117928,6,5,1
LOC111117930,2,1,1
LOC111117931,2,1,1
LOC111117968,4,5,-1
LOC111117980,1,2,-1
LOC111117992,2,3,-1
LOC111118022,2,1,1
LOC111118026,9,8,1
LOC111118032,2,1,1
LOC111118035,1,2,-1
LOC111118074,1,3,-2
LOC111118110,1,2,-1
LOC111118116,1,2,-1
LOC111118130,2,1,1
LOC111118132,1,2,-1
LOC111118172,1,2,-1
LOC111118203,2,3,-1
LOC111118234,3,4,-1
LOC111118239,10,9,1
LOC111118242,2,1,1
LOC111118257,8,7,1
LOC111118269,1,2,-1
LOC111118284,1,2,-1
LOC111118299,1,2,-1
LOC111118341,2,1,1
LOC111118407,15,16,-1
LOC111118424,3,4,-1
LOC111118445,2,1,1
LOC111118449,4,5,-1
LOC111118462,1,2,-1
LOC111118463,6,5,1
LOC111118516,1,2,-1
LOC111118558,12,9,3
LOC111118578,2,1,1
LOC111118580,1,2,-1
LOC111118614,3,2,1
LOC111118615,2,1,1
LOC111118622,2,3,-1
LOC111118654,7,8,-1
LOC111118672,3,2,1
LOC111118684,6,7,-1
LOC111118691,1,2,-1
LOC111118732,1,2,-1
LOC111118737,6,7,-1
LOC111118784,0,1,-1
LOC111118823,9,8,1
LOC111118842,1,2,-1
LOC111118843,23,21,2
LOC111118865,0,1,-1
LOC111118884,2,1,1
LOC111118906,4,5,-1
LOC111118925,3,4,-1
LOC111118929,0,1,-1
LOC111118936,1,2,-1
LOC111118992,13,12,1
LOC111119008,19,14,5
LOC111119012,5,3,2
LOC111119021,5,4,1
LOC111119030,4,3,1
LOC111119031,2,1,1
LOC111119124,11,10,1
LOC111119141,1,2,-1
LOC111119151,4,5,-1
LOC111119197,11,2,9
LOC111119220,5,6,-1
LOC111119226,8,7,1
LOC111119235,7,4,3
LOC111119255,8,9,-1
LOC111119267,4,5,-1
LOC111119273,1,2,-1
LOC111119286,2,3,-1
LOC111119297,11,9,2
LOC111119298,2,3,-1
LOC111119301,1,2,-1
LOC111119319,4,6,-2
LOC111119355,3,2,1
LOC111119356,2,1,1
LOC111119371,7,6,1
LOC111119376,5,6,-1
LOC111119387,2,1,1
LOC111119421,3,4,-1
LOC111119422,22,17,5
LOC111119423,1,0,1
LOC111119426,12,8,4
LOC111119467,2,3,-1
LOC111119502,2,1,1
LOC111119530,10,9,1
LOC111119532,7,8,-1
LOC111119562,5,4,1
LOC111119571,12,9,3
LOC111119574,7,11,-4
LOC111119580,2,1,1
LOC111119582,5,3,2
LOC111119607,6,4,2
LOC111119616,5,6,-1
LOC111119620,6,7,-1
LOC111119621,10,9,1
LOC111119630,9,8,1
LOC111119643,6,5,1
LOC111119681,4,3,1
LOC111119720,2,3,-1
LOC111119727,5,6,-1
LOC111119733,8,9,-1
LOC111119763,2,1,1
LOC111119783,2,1,1
LOC111119787,1,2,-1
LOC111119792,2,1,1
LOC111119793,1,3,-2
LOC111119794,3,2,1
LOC111119819,3,4,-1
LOC111119829,2,1,1
LOC111119839,2,1,1
LOC111119843,1,3,-2
LOC111119848,3,4,-1
LOC111119859,6,7,-1
LOC111119867,5,4,1
LOC111119872,3,2,1
LOC111119877,2,1,1
LOC111119925,3,2,1
LOC111119985,1,0,1
LOC111120008,4,3,1
LOC111120028,2,1,1
LOC111120045,3,2,1
LOC111120068,5,4,1
LOC111120077,3,4,-1
LOC111120106,3,2,1
LOC111120125,5,4,1
LOC111120179,3,4,-1
LOC111120198,1,0,1
LOC111120257,0,1,-1
LOC111120262,6,7,-1
LOC111120407,1,2,-1
LOC111120429,1,0,1
LOC111120458,2,1,1
LOC111120466,3,2,1
LOC111120467,2,3,-1
LOC111120479,4,3,1
LOC111120495,2,1,1
LOC111120510,3,4,-1
LOC111120548,2,1,1
LOC111120563,3,2,1
LOC111120593,8,9,-1
LOC111120594,6,5,1
LOC111120610,5,4,1
LOC111120642,3,2,1
LOC111120657,11,9,2
LOC111120683,2,1,1
LOC111120684,3,4,-1
LOC111120689,3,2,1
LOC111120727,3,2,1
LOC111120734,2,3,-1
LOC111120749,4,3,1
LOC111120759,13,9,4
LOC111120761,4,6,-2
LOC111120778,5,6,-1
LOC111120789,2,1,1
LOC111120802,1,2,-1
LOC111120805,5,4,1
LOC111120819,2,3,-1
LOC111120824,3,4,-1
LOC111120846,3,2,1
LOC111120857,1,2,-1
LOC111120874,8,7,1
LOC111120898,6,7,-1
LOC111120921,5,4,1
LOC111120967,6,5,1
LOC111120969,4,5,-1
LOC111121006,4,5,-1
LOC111121030,3,2,1
LOC111121068,7,6,1
LOC111121073,8,7,1
LOC111121075,1,2,-1
LOC111121103,2,3,-1
LOC111121184,20,16,4
LOC111121193,1,2,-1
LOC111121247,1,2,-1
LOC111121257,4,5,-1
LOC111121278,4,3,1
LOC111121298,2,3,-1
LOC111121313,11,12,-1
LOC111121325,1,2,-1
LOC111121331,2,1,1
LOC111121332,1,2,-1
LOC111121344,1,2,-1
LOC111121354,2,1,1
LOC111121377,1,3,-2
LOC111121405,7,6,1
LOC111121411,2,1,1
LOC111121412,3,1,2
LOC111121417,3,4,-1
LOC111121420,5,4,1
LOC111121445,2,0,2
LOC111121454,1,2,-1
LOC111121458,1,2,-1
LOC111121470,1,2,-1
LOC111121512,2,1,1
LOC111121523,4,5,-1
LOC111121537,2,3,-1
LOC111121562,2,3,-1
LOC111121565,3,4,-1
LOC111121571,1,2,-1
LOC111121580,4,3,1
LOC111121598,1,2,-1
LOC111121612,3,2,1
LOC111121634,2,1,1
LOC111121651,1,2,-1
LOC111121668,1,2,-1
LOC111121697,2,1,1
LOC111121700,1,2,-1
LOC111121733,7,6,1
LOC111121743,3,5,-2
LOC111121830,3,4,-1
LOC111121839,15,11,4
LOC111121853,5,3,2
LOC111121855,3,2,1
LOC111121880,2,3,-1
LOC111121882,2,3,-1
LOC111121901,4,3,1
LOC111121905,1,2,-1
LOC111121921,4,3,1
LOC111121995,2,1,1
LOC111122008,3,2,1
LOC111122047,5,4,1
LOC111122050,2,1,1
LOC111122063,2,3,-1
LOC111122071,2,3,-1
LOC111122072,6,5,1
LOC111122130,4,3,1
LOC111122132,2,1,1
LOC111122144,2,4,-2
LOC111122145,8,9,-1
LOC111122160,4,3,1
LOC111122189,1,2,-1
LOC111122205,4,3,1
LOC111122213,1,2,-1
LOC111122216,4,3,1
LOC111122241,2,3,-1
LOC111122242,1,2,-1
LOC111122284,1,2,-1
LOC111122285,1,2,-1
LOC111122296,6,5,1
LOC111122299,4,3,1
LOC111122301,2,3,-1
LOC111122302,1,2,-1
LOC111122304,2,1,1
LOC111122315,1,2,-1
LOC111122316,29,30,-1
LOC111122329,7,5,2
LOC111122336,3,2,1
LOC111122342,9,8,1
LOC111122350,7,6,1
LOC111122356,3,5,-2
LOC111122357,1,2,-1
LOC111122363,1,3,-2
LOC111122367,2,1,1
LOC111122368,6,11,-5
LOC111122377,5,4,1
LOC111122379,1,2,-1
LOC111122487,1,2,-1
LOC111122522,4,2,2
LOC111122540,5,7,-2
LOC111122541,2,1,1
LOC111122586,1,2,-1
LOC111122594,1,2,-1
LOC111122599,4,3,1
LOC111122608,1,2,-1
LOC111122621,2,3,-1
LOC111122670,2,1,1
LOC111122680,2,1,1
LOC111122684,2,3,-1
LOC111122706,5,3,2
LOC111122732,4,5,-1
LOC111122751,1,2,-1
LOC111122766,0,1,-1
LOC111122773,24,20,4
LOC111122775,1,2,-1
LOC111122781,2,1,1
LOC111122801,9,7,2
LOC111122803,4,3,1
LOC111122812,1,2,-1
LOC111122822,3,4,-1
LOC111122828,2,3,-1
LOC111122830,5,4,1
LOC111122831,1,2,-1
LOC111122852,7,8,-1
LOC111122855,2,3,-1
LOC111122895,5,4,1
LOC111122902,1,2,-1
LOC111122927,0,1,-1
LOC111122945,1,2,-1
LOC111122951,3,2,1
LOC111122954,1,2,-1
LOC111122959,2,1,1
LOC111122974,0,1,-1
LOC111122977,0,1,-1
LOC111122990,4,3,1
LOC111122998,8,7,1
LOC111123027,1,2,-1
LOC111123038,1,2,-1
LOC111123050,0,1,-1
LOC111123098,3,4,-1
LOC111123132,4,5,-1
LOC111123137,2,1,1
LOC111123177,3,2,1
LOC111123218,4,5,-1
LOC111123247,1,2,-1
LOC111123253,2,3,-1
LOC111123273,3,2,1
LOC111123294,3,4,-1
LOC111123324,3,1,2
LOC111123329,1,2,-1
