gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111104684,2,1,1
LOC111104689,4,3,1
LOC111104697,3,2,1
LOC111104709,2,3,-1
LOC111104711,6,1,5
LOC111104714,4,3,1
LOC111104721,3,2,1
LOC111104732,2,1,1
LOC111104738,2,1,1
LOC111104744,2,1,1
LOC111104747,2,1,1
LOC111104752,5,4,1
LOC111104754,2,1,1
LOC111104764,1,2,-1
LOC111104767,3,2,1
LOC111104769,5,4,1
LOC111104773,1,2,-1
LOC111104774,0,1,-1
LOC111104776,1,3,-2
LOC111104777,1,3,-2
LOC111104786,1,2,-1
LOC111104793,2,1,1
LOC111104820,1,2,-1
LOC111104823,1,2,-1
LOC111104825,3,4,-1
LOC111104828,1,2,-1
LOC111104830,1,2,-1
LOC111104832,1,0,1
LOC111104834,5,3,2
LOC111104835,25,9,16
LOC111104839,3,2,1
LOC111104842,2,1,1
LOC111104854,0,1,-1
LOC111104868,1,0,1
LOC111104873,2,1,1
LOC111104879,0,1,-1
LOC111104907,0,1,-1
LOC111104910,0,1,-1
LOC111104915,0,1,-1
LOC111104926,0,1,-1
LOC111104927,0,1,-1
LOC111104938,0,1,-1
LOC111104944,1,0,1
LOC111104957,0,1,-1
LOC111104961,0,1,-1
LOC111104963,0,1,-1
LOC111104973,1,0,1
LOC111104975,1,0,1
LOC111104983,0,1,-1
LOC111104984,0,1,-1
LOC111104999,0,1,-1
LOC111105002,0,1,-1
LOC111105006,0,1,-1
LOC111105008,0,1,-1
LOC111105009,0,1,-1
LOC111105023,0,1,-1
LOC111105035,3,2,1
LOC111105071,0,1,-1
LOC111105090,1,0,1
LOC111105099,1,0,1
LOC111105154,1,0,1
LOC111105211,2,1,1
LOC111105226,0,1,-1
LOC111105233,3,2,1
LOC111105238,1,2,-1
LOC111105239,1,2,-1
LOC111105242,0,1,-1
LOC111105249,3,2,1
LOC111105256,2,1,1
LOC111105259,2,1,1
LOC111105271,1,0,1
LOC111105272,3,1,2
LOC111105273,5,1,4
LOC111105276,3,1,2
LOC111105280,4,2,2
LOC111105288,0,1,-1
LOC111105291,1,2,-1
LOC111105295,3,2,1
LOC111105296,2,1,1
LOC111105304,2,5,-3
LOC111105317,1,2,-1
LOC111105328,2,1,1
LOC111105333,4,7,-3
LOC111105362,1,2,-1
LOC111105363,3,2,1
LOC111105365,3,2,1
LOC111105366,15,13,2
LOC111105367,6,5,1
LOC111105377,1,2,-1
LOC111105379,3,2,1
LOC111105382,4,2,2
LOC111105383,1,0,1
LOC111105401,1,0,1
LOC111105402,1,0,1
LOC111105404,3,1,2
LOC111105405,1,2,-1
LOC111105409,2,1,1
LOC111105418,1,2,-1
LOC111105423,5,2,3
LOC111105434,5,3,2
LOC111105435,1,2,-1
LOC111105450,3,2,1
LOC111105453,3,4,-1
LOC111105454,1,2,-1
LOC111105462,3,2,1
LOC111105464,2,1,1
LOC111105471,2,1,1
LOC111105478,2,1,1
LOC111105480,9,1,8
LOC111105489,1,2,-1
LOC111105494,4,1,3
LOC111105496,1,0,1
LOC111105501,2,3,-1
LOC111105503,2,1,1
LOC111105506,2,1,1
LOC111105509,7,5,2
LOC111105511,3,2,1
LOC111105516,2,1,1
LOC111105522,2,0,2
LOC111105534,0,1,-1
LOC111105540,2,1,1
LOC111105545,2,3,-1
LOC111105547,2,0,2
LOC111105554,1,0,1
LOC111105555,1,2,-1
LOC111105577,0,1,-1
LOC111105579,3,2,1
LOC111105580,3,2,1
LOC111105591,2,1,1
LOC111105593,2,1,1
LOC111105605,0,1,-1
LOC111105611,0,1,-1
LOC111105619,2,3,-1
LOC111105622,1,0,1
LOC111105629,2,1,1
LOC111105635,1,2,-1
LOC111105679,1,2,-1
LOC111105680,0,1,-1
LOC111105684,6,5,1
LOC111105686,2,3,-1
LOC111105713,5,4,1
LOC111105716,17,9,8
LOC111105730,3,2,1
LOC111105732,1,2,-1
LOC111105746,0,2,-2
LOC111105748,3,2,1
LOC111105752,2,1,1
LOC111105754,4,3,1
LOC111105763,3,1,2
LOC111105770,1,2,-1
LOC111105785,0,1,-1
LOC111105790,1,0,1
LOC111105795,3,2,1
LOC111105801,4,2,2
LOC111105805,2,1,1
LOC111105807,19,14,5
LOC111105810,3,2,1
LOC111105816,2,1,1
LOC111105820,0,1,-1
LOC111105823,1,0,1
LOC111105825,0,1,-1
LOC111105828,15,9,6
LOC111105831,2,1,1
LOC111105835,1,3,-2
LOC111105838,1,0,1
LOC111105840,3,2,1
LOC111105842,3,2,1
LOC111105847,4,3,1
LOC111105853,1,2,-1
LOC111105855,1,2,-1
LOC111105862,2,1,1
LOC111105873,0,1,-1
LOC111105883,0,1,-1
LOC111105885,0,1,-1
LOC111105901,2,1,1
LOC111105904,12,11,1
LOC111105916,4,3,1
LOC111105919,1,2,-1
LOC111105920,4,2,2
LOC111105921,3,2,1
LOC111105924,1,2,-1
LOC111105937,1,2,-1
LOC111105939,3,2,1
LOC111105940,2,1,1
LOC111105948,1,2,-1
LOC111105949,2,1,1
LOC111105950,2,1,1
LOC111105984,2,1,1
LOC111105991,2,1,1
LOC111105995,1,0,1
LOC111106007,2,1,1
LOC111106023,4,3,1
LOC111106030,2,1,1
LOC111106033,2,1,1
LOC111106038,2,1,1
LOC111106042,1,0,1
LOC111106044,2,1,1
LOC111106047,3,2,1
LOC111106078,0,1,-1
LOC111106095,2,1,1
LOC111106097,4,3,1
LOC111106104,2,1,1
LOC111106112,1,2,-1
LOC111106113,1,0,1
LOC111106114,1,0,1
LOC111106119,7,6,1
LOC111106135,1,2,-1
LOC111106137,1,0,1
LOC111106139,3,4,-1
LOC111106140,1,2,-1
LOC111106145,0,1,-1
LOC111106150,2,1,1
LOC111106154,2,3,-1
LOC111106158,2,1,1
LOC111106166,1,2,-1
LOC111106177,1,0,1
LOC111106179,3,2,1
LOC111106188,0,1,-1
LOC111106189,5,4,1
LOC111106190,2,1,1
LOC111106199,2,4,-2
LOC111106203,1,2,-1
LOC111106209,2,1,1
LOC111106212,7,3,4
LOC111106214,3,1,2
LOC111106218,0,1,-1
LOC111106220,0,1,-1
LOC111106240,9,8,1
LOC111106242,2,1,1
LOC111106244,1,2,-1
LOC111106245,0,1,-1
LOC111106255,3,2,1
LOC111106260,2,1,1
LOC111106267,3,2,1
LOC111106281,2,0,2
LOC111106292,2,1,1
LOC111106301,3,2,1
LOC111106304,2,1,1
LOC111106307,3,2,1
LOC111106309,2,1,1
LOC111106315,1,2,-1
LOC111106326,2,1,1
LOC111106333,5,7,-2
LOC111106339,4,5,-1
LOC111106341,0,1,-1
LOC111106344,2,1,1
LOC111106349,1,2,-1
LOC111106388,0,1,-1
LOC111106389,3,2,1
LOC111106402,1,2,-1
LOC111106412,1,2,-1
LOC111106413,1,0,1
LOC111106420,1,3,-2
LOC111106424,1,2,-1
LOC111106425,3,2,1
LOC111106430,1,0,1
LOC111106436,0,1,-1
LOC111106438,4,3,1
LOC111106447,0,1,-1
LOC111106453,1,0,1
LOC111106455,4,3,1
LOC111106457,3,2,1
LOC111106461,3,1,2
LOC111106465,2,6,-4
LOC111106471,1,0,1
LOC111106488,1,0,1
LOC111106498,2,1,1
LOC111106504,2,1,1
LOC111106507,1,2,-1
LOC111106514,3,1,2
LOC111106516,2,3,-1
LOC111106558,2,1,1
LOC111106560,0,1,-1
LOC111106562,0,1,-1
LOC111106567,2,1,1
LOC111106576,3,2,1
LOC111106578,1,2,-1
LOC111106580,0,1,-1
LOC111106603,0,1,-1
LOC111106606,2,1,1
LOC111106607,2,1,1
LOC111106612,0,1,-1
LOC111106620,2,1,1
LOC111106637,3,2,1
LOC111106650,3,2,1
LOC111106653,2,1,1
LOC111106654,2,1,1
LOC111106664,3,2,1
LOC111106666,2,1,1
LOC111106667,4,3,1
LOC111106668,5,2,3
LOC111106671,2,1,1
LOC111106672,1,2,-1
LOC111106679,2,0,2
LOC111106688,1,0,1
LOC111106701,2,1,1
LOC111106702,2,1,1
LOC111106705,2,1,1
LOC111106711,3,1,2
LOC111106714,2,1,1
LOC111106723,0,1,-1
LOC111106725,1,0,1
LOC111106726,2,1,1
LOC111106731,3,5,-2
LOC111106732,2,1,1
LOC111106739,2,1,1
LOC111106749,2,1,1
LOC111106758,1,0,1
LOC111106764,2,1,1
LOC111106765,3,2,1
LOC111106768,3,2,1
LOC111106776,2,1,1
LOC111106779,2,1,1
LOC111106790,1,2,-1
LOC111106793,1,2,-1
LOC111106795,2,1,1
LOC111106802,1,2,-1
LOC111106819,2,1,1
LOC111106828,1,2,-1
LOC111106830,14,6,8
LOC111106834,1,2,-1
LOC111106837,2,3,-1
LOC111106841,0,1,-1
LOC111106842,2,1,1
LOC111106854,1,2,-1
LOC111106859,4,2,2
LOC111106862,6,3,3
LOC111106865,1,0,1
LOC111106867,0,3,-3
LOC111106871,1,0,1
LOC111106874,5,2,3
LOC111106876,0,2,-2
LOC111106885,5,2,3
LOC111106889,0,1,-1
LOC111106890,1,2,-1
LOC111106893,0,1,-1
LOC111106894,1,0,1
LOC111106900,2,1,1
LOC111106901,4,2,2
LOC111106905,2,1,1
LOC111106917,2,1,1
LOC111106940,1,2,-1
LOC111106944,3,1,2
LOC111106946,1,0,1
LOC111106951,2,1,1
LOC111106958,2,1,1
LOC111106963,0,1,-1
LOC111106974,0,1,-1
LOC111106979,2,1,1
LOC111106980,16,11,5
LOC111106989,3,0,3
LOC111106990,2,1,1
LOC111106992,3,2,1
LOC111106997,1,0,1
LOC111107016,0,1,-1
LOC111107018,3,1,2
LOC111107031,1,0,1
LOC111107032,2,1,1
LOC111107041,1,2,-1
LOC111107046,5,4,1
LOC111107048,3,2,1
LOC111107057,2,1,1
LOC111107058,6,3,3
LOC111107062,2,1,1
LOC111107064,10,7,3
LOC111107073,0,1,-1
LOC111107079,0,1,-1
LOC111107085,2,1,1
LOC111107093,2,1,1
LOC111107094,1,2,-1
LOC111107095,0,1,-1
LOC111107096,4,1,3
LOC111107097,3,1,2
LOC111107099,4,2,2
LOC111107101,0,1,-1
LOC111107104,8,5,3
LOC111107115,1,0,1
LOC111107118,4,3,1
LOC111107128,0,1,-1
LOC111107129,0,1,-1
LOC111107131,1,0,1
LOC111107136,2,1,1
LOC111107138,12,5,7
LOC111107141,1,0,1
LOC111107144,2,3,-1
LOC111107155,6,7,-1
LOC111107170,3,2,1
LOC111107177,4,1,3
LOC111107185,2,3,-1
LOC111107186,2,1,1
LOC111107193,2,1,1
LOC111107197,1,2,-1
LOC111107202,0,1,-1
LOC111107203,1,0,1
LOC111107204,14,4,10
LOC111107211,0,1,-1
LOC111107250,10,4,6
LOC111107257,4,3,1
LOC111107266,4,3,1
LOC111107267,0,1,-1
LOC111107269,1,0,1
LOC111107271,1,2,-1
LOC111107278,10,9,1
LOC111107281,2,1,1
LOC111107284,3,4,-1
LOC111107319,1,0,1
LOC111107326,3,2,1
LOC111107328,14,16,-2
LOC111107342,4,3,1
LOC111107360,1,3,-2
LOC111107363,4,3,1
LOC111107364,4,3,1
LOC111107371,2,1,1
LOC111107381,0,1,-1
LOC111107387,4,3,1
LOC111107404,4,3,1
LOC111107409,5,4,1
LOC111107411,2,1,1
LOC111107416,0,1,-1
LOC111107422,5,3,2
LOC111107435,1,0,1
LOC111107437,2,1,1
LOC111107440,0,1,-1
LOC111107441,0,1,-1
LOC111107443,11,7,4
LOC111107462,7,5,2
LOC111107464,0,1,-1
LOC111107466,0,1,-1
LOC111107475,0,1,-1
LOC111107486,2,1,1
LOC111107489,2,1,1
LOC111107500,0,1,-1
LOC111107503,0,1,-1
LOC111107508,3,2,1
LOC111107510,2,1,1
LOC111107517,0,1,-1
LOC111107518,10,9,1
LOC111107545,7,5,2
LOC111107549,3,1,2
LOC111107551,1,2,-1
LOC111107555,2,1,1
LOC111107560,5,4,1
LOC111107574,5,4,1
LOC111107576,3,1,2
LOC111107585,0,1,-1
LOC111107586,1,2,-1
LOC111107595,7,6,1
LOC111107596,2,1,1
LOC111107620,4,3,1
LOC111107623,1,0,1
LOC111107627,4,3,1
LOC111107662,4,2,2
LOC111107663,2,1,1
LOC111107667,3,1,2
LOC111107668,2,3,-1
LOC111107669,5,4,1
LOC111107671,2,1,1
LOC111107672,2,3,-1
LOC111107675,2,1,1
LOC111107678,3,2,1
LOC111107682,3,2,1
LOC111107695,9,7,2
LOC111107697,2,1,1
LOC111107698,2,1,1
LOC111107701,1,2,-1
LOC111107704,2,1,1
LOC111107721,0,1,-1
LOC111107727,10,7,3
LOC111107728,2,1,1
LOC111107731,11,8,3
LOC111107737,2,1,1
LOC111107739,4,1,3
LOC111107740,0,1,-1
LOC111107751,0,1,-1
LOC111107757,3,2,1
LOC111107760,2,1,1
LOC111107767,3,2,1
LOC111107781,4,3,1
LOC111107786,3,2,1
LOC111107791,0,1,-1
LOC111107797,0,1,-1
LOC111107798,0,1,-1
LOC111107801,0,1,-1
LOC111107809,2,1,1
LOC111107815,3,2,1
LOC111107822,4,3,1
LOC111107824,2,1,1
LOC111107827,7,4,3
LOC111107832,4,3,1
LOC111107845,1,2,-1
LOC111107847,2,1,1
LOC111107852,4,3,1
LOC111107854,5,3,2
LOC111107855,2,1,1
LOC111107858,2,1,1
LOC111107863,4,2,2
LOC111107881,3,1,2
LOC111107884,2,1,1
LOC111107889,1,0,1
LOC111107907,4,3,1
LOC111107911,4,1,3
LOC111107917,6,5,1
LOC111107918,1,0,1
LOC111107926,2,4,-2
LOC111107927,1,2,-1
LOC111107933,12,10,2
LOC111107940,2,1,1
LOC111107955,4,3,1
LOC111107967,2,1,1
LOC111107974,2,1,1
LOC111107979,0,1,-1
LOC111107992,3,2,1
LOC111107997,2,4,-2
LOC111107998,0,1,-1
LOC111108006,8,6,2
LOC111108012,1,2,-1
LOC111108016,2,1,1
LOC111108022,6,4,2
LOC111108030,2,1,1
LOC111108038,3,2,1
LOC111108046,3,2,1
LOC111108050,7,6,1
LOC111108055,3,1,2
LOC111108063,4,3,1
LOC111108064,2,1,1
LOC111108071,1,2,-1
LOC111108077,0,1,-1
LOC111108079,1,0,1
LOC111108081,4,2,2
LOC111108086,24,15,9
LOC111108089,10,3,7
LOC111108091,2,1,1
LOC111108094,4,3,1
LOC111108099,0,1,-1
LOC111108116,2,1,1
LOC111108121,2,1,1
LOC111108126,2,1,1
LOC111108145,4,2,2
LOC111108147,2,1,1
LOC111108148,3,2,1
LOC111108158,1,0,1
LOC111108160,8,9,-1
LOC111108167,8,6,2
LOC111108170,3,2,1
LOC111108172,2,1,1
LOC111108179,6,4,2
LOC111108185,8,4,4
LOC111108186,9,11,-2
LOC111108190,3,2,1
LOC111108196,0,1,-1
LOC111108197,2,1,1
LOC111108199,4,2,2
LOC111108202,6,5,1
LOC111108206,2,1,1
LOC111108212,17,1,16
LOC111108221,2,1,1
LOC111108225,4,5,-1
LOC111108231,3,1,2
LOC111108234,3,2,1
LOC111108240,1,2,-1
LOC111108243,3,2,1
LOC111108244,1,2,-1
LOC111108248,7,3,4
LOC111108249,6,4,2
LOC111108266,2,1,1
LOC111108280,1,2,-1
LOC111108307,5,4,1
LOC111108310,2,3,-1
LOC111108314,3,2,1
LOC111108320,2,1,1
LOC111108322,3,4,-1
LOC111108332,2,1,1
LOC111108342,2,1,1
LOC111108353,4,3,1
LOC111108357,4,3,1
LOC111108368,2,1,1
LOC111108370,6,5,1
LOC111108379,3,2,1
LOC111108381,3,2,1
LOC111108385,3,2,1
LOC111108398,2,1,1
LOC111108399,1,2,-1
LOC111108403,5,2,3
LOC111108410,4,2,2
LOC111108426,4,3,1
LOC111108431,2,1,1
LOC111108439,10,8,2
LOC111108443,3,2,1
LOC111108451,3,2,1
LOC111108457,6,4,2
LOC111108459,4,2,2
LOC111108460,2,1,1
LOC111108461,2,1,1
LOC111108470,3,2,1
LOC111108471,3,2,1
LOC111108474,2,1,1
LOC111108476,5,4,1
LOC111108479,5,3,2
LOC111108483,0,1,-1
LOC111108492,2,1,1
LOC111108495,4,2,2
LOC111108501,8,6,2
LOC111108503,5,2,3
LOC111108506,2,3,-1
LOC111108523,6,3,3
LOC111108525,3,2,1
LOC111108530,0,1,-1
LOC111108534,3,1,2
LOC111108535,2,1,1
LOC111108536,1,2,-1
LOC111108537,2,1,1
LOC111108540,1,3,-2
LOC111108556,3,2,1
LOC111108558,2,1,1
LOC111108561,2,1,1
LOC111108564,1,2,-1
LOC111108565,2,1,1
LOC111108574,3,2,1
LOC111108577,2,1,1
LOC111108578,2,1,1
LOC111108586,6,3,3
LOC111108604,2,3,-1
LOC111108615,4,3,1
LOC111108621,2,1,1
LOC111108638,2,1,1
LOC111108653,6,5,1
LOC111108656,2,1,1
LOC111108659,3,2,1
LOC111108662,4,3,1
LOC111108663,1,2,-1
LOC111108681,1,0,1
LOC111108686,1,0,1
LOC111108687,1,0,1
LOC111108688,0,1,-1
LOC111108700,3,2,1
LOC111108708,2,1,1
LOC111108711,3,2,1
LOC111108716,2,1,1
LOC111108719,1,2,-1
LOC111108726,3,2,1
LOC111108732,1,2,-1
LOC111108749,3,1,2
LOC111108768,2,1,1
LOC111108769,4,5,-1
LOC111108771,1,2,-1
LOC111108772,1,3,-2
LOC111108779,3,2,1
LOC111108782,2,1,1
LOC111108794,0,1,-1
LOC111108799,4,3,1
LOC111108824,0,1,-1
LOC111108830,0,1,-1
LOC111108835,8,6,2
LOC111108838,0,1,-1
LOC111108876,0,1,-1
LOC111108877,0,1,-1
LOC111108931,3,2,1
LOC111108940,1,0,1
LOC111108941,1,0,1
LOC111108943,0,1,-1
LOC111108944,0,1,-1
LOC111108950,0,1,-1
LOC111108990,1,0,1
LOC111108993,0,1,-1
LOC111109043,2,3,-1
LOC111109065,0,1,-1
LOC111109077,0,1,-1
LOC111109088,0,1,-1
LOC111109106,0,1,-1
LOC111109132,2,1,1
LOC111109183,0,1,-1
LOC111109204,0,1,-1
LOC111109240,0,1,-1
LOC111109263,2,1,1
LOC111109314,0,1,-1
LOC111109358,0,1,-1
LOC111109369,3,2,1
LOC111109393,0,1,-1
LOC111109394,0,1,-1
LOC111109401,2,1,1
LOC111109404,5,1,4
LOC111109406,2,1,1
LOC111109410,2,1,1
LOC111109415,1,2,-1
LOC111109419,2,1,1
LOC111109432,2,1,1
LOC111109447,2,1,1
LOC111109449,2,1,1
LOC111109455,3,2,1
LOC111109456,2,1,1
LOC111109465,8,5,3
LOC111109473,3,2,1
LOC111109474,0,2,-2
LOC111109483,2,1,1
LOC111109484,9,1,8
LOC111109487,1,3,-2
LOC111109495,5,2,3
LOC111109497,0,1,-1
LOC111109499,2,3,-1
LOC111109508,2,1,1
LOC111109510,2,1,1
LOC111109515,2,1,1
LOC111109523,4,1,3
LOC111109526,4,2,2
LOC111109527,5,3,2
LOC111109543,3,2,1
LOC111109547,1,2,-1
LOC111109561,3,2,1
LOC111109588,2,1,1
LOC111109596,5,3,2
LOC111109606,3,1,2
LOC111109627,3,2,1
LOC111109629,2,1,1
LOC111109630,3,1,2
LOC111109634,1,2,-1
LOC111109641,1,2,-1
LOC111109649,4,3,1
LOC111109655,5,4,1
LOC111109657,6,2,4
LOC111109663,3,1,2
LOC111109664,5,4,1
LOC111109671,2,3,-1
LOC111109692,0,1,-1
LOC111109693,3,2,1
LOC111109705,2,1,1
LOC111109719,0,1,-1
LOC111109735,2,3,-1
LOC111109744,3,1,2
LOC111109750,2,1,1
LOC111109752,2,1,1
LOC111109767,2,1,1
LOC111109786,3,2,1
LOC111109793,1,2,-1
LOC111109803,1,2,-1
LOC111109814,2,1,1
LOC111109831,3,1,2
LOC111109833,1,2,-1
LOC111109840,1,2,-1
LOC111109846,1,2,-1
LOC111109852,5,1,4
LOC111109862,3,1,2
LOC111109868,3,2,1
LOC111109871,0,1,-1
LOC111109872,0,1,-1
LOC111109873,2,1,1
LOC111109879,3,1,2
LOC111109885,5,4,1
LOC111109889,2,1,1
LOC111109893,2,1,1
LOC111109914,2,1,1
LOC111109918,1,2,-1
LOC111109919,1,2,-1
LOC111109925,2,1,1
LOC111109937,2,1,1
LOC111109940,2,1,1
LOC111109949,7,6,1
LOC111109953,1,2,-1
LOC111109973,8,6,2
LOC111109979,1,0,1
LOC111109981,4,3,1
LOC111109990,2,1,1
LOC111109991,1,2,-1
LOC111109993,10,8,2
LOC111110011,2,1,1
LOC111110017,1,2,-1
LOC111110018,1,2,-1
LOC111110021,4,3,1
LOC111110024,1,2,-1
LOC111110028,10,6,4
LOC111110033,3,2,1
LOC111110036,0,1,-1
LOC111110037,1,2,-1
LOC111110038,3,2,1
LOC111110041,2,1,1
LOC111110043,2,1,1
LOC111110046,1,0,1
LOC111110051,2,3,-1
LOC111110063,2,1,1
LOC111110069,2,1,1
LOC111110073,2,4,-2
LOC111110078,2,1,1
LOC111110079,0,1,-1
LOC111110083,10,5,5
LOC111110084,5,4,1
LOC111110088,3,2,1
LOC111110089,3,2,1
LOC111110093,5,4,1
LOC111110094,1,2,-1
LOC111110100,2,1,1
LOC111110101,2,1,1
LOC111110102,1,2,-1
LOC111110109,2,1,1
LOC111110125,3,2,1
LOC111110130,1,2,-1
LOC111110131,3,2,1
LOC111110144,1,2,-1
LOC111110148,4,2,2
LOC111110149,2,1,1
LOC111110179,4,2,2
LOC111110196,1,2,-1
LOC111110199,2,3,-1
LOC111110204,1,2,-1
LOC111110218,2,1,1
LOC111110219,3,4,-1
LOC111110228,1,2,-1
LOC111110230,1,0,1
LOC111110231,1,0,1
LOC111110234,0,1,-1
LOC111110244,8,5,3
LOC111110250,4,3,1
LOC111110255,4,3,1
LOC111110256,0,1,-1
LOC111110262,2,1,1
LOC111110280,5,2,3
LOC111110285,2,1,1
LOC111110286,1,0,1
LOC111110290,2,1,1
LOC111110296,6,2,4
LOC111110297,7,6,1
LOC111110298,2,1,1
LOC111110303,2,1,1
LOC111110308,0,1,-1
LOC111110316,4,2,2
LOC111110319,2,1,1
LOC111110329,1,2,-1
LOC111110333,1,2,-1
LOC111110335,0,1,-1
LOC111110337,1,2,-1
LOC111110346,6,5,1
LOC111110347,11,6,5
LOC111110352,5,3,2
LOC111110354,0,1,-1
LOC111110355,2,1,1
LOC111110371,3,1,2
LOC111110383,2,1,1
LOC111110394,3,1,2
LOC111110395,1,2,-1
LOC111110398,2,3,-1
LOC111110405,0,1,-1
LOC111110407,2,1,1
LOC111110445,3,2,1
LOC111110476,6,1,5
LOC111110481,0,1,-1
LOC111110489,0,1,-1
LOC111110495,7,8,-1
LOC111110506,2,1,1
LOC111110507,3,2,1
LOC111110509,1,3,-2
LOC111110517,8,6,2
LOC111110526,6,2,4
LOC111110529,1,0,1
LOC111110531,0,1,-1
LOC111110542,3,2,1
LOC111110545,5,3,2
LOC111110570,1,0,1
LOC111110609,4,2,2
LOC111110615,2,3,-1
LOC111110617,0,1,-1
LOC111110628,2,1,1
LOC111110632,2,1,1
LOC111110633,1,2,-1
LOC111110634,2,1,1
LOC111110635,1,0,1
LOC111110637,5,3,2
LOC111110640,1,2,-1
LOC111110642,3,4,-1
LOC111110650,0,1,-1
LOC111110657,1,3,-2
LOC111110661,2,1,1
LOC111110671,3,4,-1
LOC111110672,2,1,1
LOC111110674,2,1,1
LOC111110708,2,1,1
LOC111110716,3,1,2
LOC111110720,3,2,1
LOC111110739,8,6,2
LOC111110743,2,3,-1
LOC111110748,6,4,2
LOC111110752,0,2,-2
LOC111110763,0,1,-1
LOC111110773,1,0,1
LOC111110782,3,2,1
LOC111110798,3,2,1
LOC111110802,2,1,1
LOC111110807,2,1,1
LOC111110808,0,1,-1
LOC111110811,3,2,1
LOC111110814,3,1,2
LOC111110816,3,1,2
LOC111110819,0,1,-1
LOC111110820,2,3,-1
LOC111110828,3,2,1
LOC111110829,1,0,1
LOC111110833,1,2,-1
LOC111110835,4,2,2
LOC111110839,1,2,-1
LOC111110863,7,4,3
LOC111110867,7,5,2
LOC111110886,2,1,1
LOC111110894,1,2,-1
LOC111110897,1,2,-1
LOC111110905,3,2,1
LOC111110908,2,1,1
LOC111110910,2,1,1
LOC111110913,1,0,1
LOC111110917,2,1,1
LOC111110918,0,1,-1
LOC111110919,0,1,-1
LOC111110929,3,2,1
LOC111110936,0,1,-1
LOC111110937,0,1,-1
LOC111110942,5,2,3
LOC111110946,9,6,3
LOC111110957,3,2,1
LOC111110965,6,3,3
LOC111110972,1,0,1
LOC111110975,5,4,1
LOC111110979,9,7,2
LOC111110985,3,4,-1
LOC111110987,0,1,-1
LOC111110989,2,1,1
LOC111110991,1,0,1
LOC111110996,2,0,2
LOC111110997,13,14,-1
LOC111110999,1,2,-1
LOC111111013,5,3,2
LOC111111017,3,2,1
LOC111111019,3,2,1
LOC111111025,3,2,1
LOC111111048,5,2,3
LOC111111050,11,8,3
LOC111111052,1,0,1
LOC111111056,3,1,2
LOC111111058,9,6,3
LOC111111064,2,1,1
LOC111111079,2,1,1
LOC111111082,0,1,-1
LOC111111099,2,4,-2
LOC111111101,1,2,-1
LOC111111109,0,1,-1
LOC111111110,1,0,1
LOC111111122,3,2,1
LOC111111124,6,5,1
LOC111111131,3,2,1
LOC111111132,2,1,1
LOC111111136,4,3,1
LOC111111140,1,0,1
LOC111111149,0,1,-1
LOC111111150,1,0,1
LOC111111155,2,1,1
LOC111111156,4,3,1
LOC111111163,1,2,-1
LOC111111168,2,1,1
LOC111111182,2,3,-1
LOC111111185,2,1,1
LOC111111193,1,0,1
LOC111111200,0,1,-1
LOC111111212,2,1,1
LOC111111215,5,4,1
